tower_id,lat,lon,mcc,mnc,operator,radio,cell_id,created_at,attribution
MY-CELL-502-01-87505,3.03323,101.38445,502,1,U Mobile,LTE,87505,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-71135,3.04203,101.37575,502,16,Digi,LTE,71135,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-48467,2.99726,101.38495,502,12,Maxis,LTE,48467,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-96831,3.02367,101.42746,502,12,Maxis,GSM,96831,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-96416,3.04333,101.40986,502,1,U Mobile,LTE,96416,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-80091,3.00547,101.38411,502,1,U Mobile,LTE,80091,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-55525,3.05127,101.4154,502,19,Celcom,LTE,55525,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-84290,3.02198,101.40291,502,19,Celcom,GSM,84290,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-40746,3.03125,101.42906,502,16,Digi,LTE,40746,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-64045,3.02195,101.37894,502,16,Digi,GSM,64045,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-49790,3.09557,101.39017,502,12,Maxis,UMTS,49790,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-50764,3.0396,101.38824,502,1,U Mobile,LTE,50764,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-66835,3.00827,101.35609,502,1,U Mobile,LTE,66835,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-83744,3.06468,101.40888,502,19,Celcom,LTE,83744,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-28589,3.00337,101.40783,502,1,U Mobile,UMTS,28589,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-53525,3.04627,101.40015,502,12,Maxis,GSM,53525,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-73208,2.98121,101.39296,502,19,Celcom,UMTS,73208,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-10301,3.00015,101.35754,502,12,Maxis,GSM,10301,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-76235,3.04591,101.38738,502,12,Maxis,LTE,76235,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-75726,3.06215,101.38972,502,12,Maxis,UMTS,75726,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-16102,3.04514,101.37593,502,12,Maxis,GSM,16102,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-36641,3.03653,101.39516,502,12,Maxis,LTE,36641,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-33093,3.03097,101.41212,502,12,Maxis,LTE,33093,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-61885,2.99564,101.45659,502,16,Digi,LTE,61885,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-82991,3.0184,101.40524,502,1,U Mobile,LTE,82991,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-66958,3.02618,101.40773,502,19,Celcom,LTE,66958,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-55017,3.07171,101.39777,502,19,Celcom,LTE,55017,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-88069,3.05031,101.34244,502,12,Maxis,LTE,88069,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-15801,2.98711,101.3992,502,1,U Mobile,GSM,15801,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-60993,3.04972,101.40181,502,19,Celcom,LTE,60993,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-98891,3.02845,101.4739,502,12,Maxis,GSM,98891,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-80316,3.01969,101.39423,502,16,Digi,LTE,80316,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-87575,3.05835,101.40905,502,1,U Mobile,LTE,87575,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-97922,3.07093,101.39896,502,1,U Mobile,UMTS,97922,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-42097,3.06794,101.36494,502,19,Celcom,UMTS,42097,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-62921,3.01482,101.43428,502,16,Digi,LTE,62921,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-32677,3.03072,101.42256,502,19,Celcom,GSM,32677,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-66661,3.04994,101.42373,502,16,Digi,LTE,66661,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-80313,3.06927,101.37272,502,12,Maxis,UMTS,80313,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-78027,3.02562,101.44208,502,16,Digi,LTE,78027,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-90135,3.03443,101.35794,502,12,Maxis,LTE,90135,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-11062,3.05569,101.5214,502,19,Celcom,LTE,11062,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-31545,3.08359,101.51229,502,12,Maxis,GSM,31545,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-19348,3.05539,101.52227,502,16,Digi,LTE,19348,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-99930,3.07433,101.53324,502,19,Celcom,GSM,99930,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-58136,3.07091,101.55172,502,16,Digi,UMTS,58136,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-82592,3.05697,101.49524,502,16,Digi,LTE,82592,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-60343,3.11288,101.56266,502,12,Maxis,GSM,60343,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-98858,3.08268,101.48096,502,16,Digi,LTE,98858,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-93460,3.0295,101.51696,502,16,Digi,LTE,93460,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-64693,3.07373,101.53177,502,12,Maxis,GSM,64693,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-36432,3.05676,101.52562,502,19,Celcom,GSM,36432,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-67854,3.08705,101.50755,502,16,Digi,UMTS,67854,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-11324,3.05415,101.51584,502,19,Celcom,LTE,11324,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-45909,3.06771,101.51014,502,1,U Mobile,UMTS,45909,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-82124,3.0801,101.50821,502,1,U Mobile,LTE,82124,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-35289,3.08732,101.53699,502,1,U Mobile,LTE,35289,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-25485,3.04599,101.52714,502,16,Digi,LTE,25485,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-14748,3.06331,101.50614,502,19,Celcom,GSM,14748,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-13709,3.0605,101.53799,502,16,Digi,UMTS,13709,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-65771,3.05693,101.52615,502,16,Digi,UMTS,65771,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-35470,3.10531,101.53626,502,1,U Mobile,GSM,35470,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-49298,3.0781,101.53259,502,12,Maxis,LTE,49298,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-71629,3.04478,101.50342,502,12,Maxis,UMTS,71629,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-38016,3.08836,101.5088,502,12,Maxis,UMTS,38016,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-77641,3.11244,101.53495,502,12,Maxis,LTE,77641,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-32700,3.09065,101.53221,502,1,U Mobile,GSM,32700,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-30559,3.03961,101.51958,502,12,Maxis,GSM,30559,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-71642,3.06032,101.52235,502,16,Digi,GSM,71642,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-40354,3.09534,101.54555,502,1,U Mobile,GSM,40354,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-81726,3.05585,101.50817,502,1,U Mobile,LTE,81726,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-48413,3.07888,101.53094,502,12,Maxis,LTE,48413,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-78866,3.08549,101.51596,502,19,Celcom,LTE,78866,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-17114,3.05146,101.51565,502,1,U Mobile,LTE,17114,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-20975,3.06881,101.54198,502,1,U Mobile,LTE,20975,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-33959,3.00517,101.53651,502,1,U Mobile,UMTS,33959,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-39703,3.04951,101.53627,502,1,U Mobile,GSM,39703,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-71529,3.06495,101.54611,502,16,Digi,UMTS,71529,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-41921,3.04504,101.52042,502,1,U Mobile,LTE,41921,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-14835,3.10265,101.53364,502,1,U Mobile,UMTS,14835,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-57605,3.0414,101.51379,502,1,U Mobile,LTE,57605,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-48088,3.0612,101.52648,502,19,Celcom,LTE,48088,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-67043,3.07261,101.5174,502,12,Maxis,GSM,67043,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-92844,3.09883,101.52194,502,12,Maxis,UMTS,92844,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-55445,3.04128,101.5319,502,12,Maxis,LTE,55445,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-59407,3.09326,101.50364,502,16,Digi,LTE,59407,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-75545,3.0702,101.56185,502,12,Maxis,LTE,75545,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-66570,3.05037,101.49988,502,1,U Mobile,LTE,66570,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-11015,3.07924,101.49572,502,12,Maxis,GSM,11015,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-18415,3.07398,101.54316,502,12,Maxis,LTE,18415,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-72292,3.058,101.53583,502,19,Celcom,LTE,72292,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-60448,3.08768,101.59704,502,19,Celcom,LTE,60448,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-57915,3.12872,101.60795,502,19,Celcom,LTE,57915,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-13596,3.10517,101.58361,502,12,Maxis,LTE,13596,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-17561,3.12465,101.63829,502,1,U Mobile,LTE,17561,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-36734,3.10437,101.5765,502,19,Celcom,LTE,36734,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-22910,3.09031,101.66064,502,1,U Mobile,LTE,22910,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-33275,3.13278,101.58472,502,1,U Mobile,LTE,33275,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-70004,3.1045,101.65,502,19,Celcom,LTE,70004,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-64553,3.10333,101.60184,502,16,Digi,UMTS,64553,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-85703,3.11615,101.63122,502,1,U Mobile,LTE,85703,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-13812,3.11848,101.60495,502,19,Celcom,GSM,13812,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-37285,3.11626,101.65347,502,12,Maxis,LTE,37285,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-87149,3.07299,101.62087,502,12,Maxis,UMTS,87149,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-23046,3.08726,101.64147,502,19,Celcom,LTE,23046,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-14324,3.08687,101.62152,502,19,Celcom,LTE,14324,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-51427,3.08442,101.62706,502,1,U Mobile,LTE,51427,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-97886,3.08256,101.63232,502,1,U Mobile,LTE,97886,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-94471,3.08658,101.60943,502,16,Digi,LTE,94471,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-63441,3.10672,101.59439,502,16,Digi,LTE,63441,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-89239,3.10989,101.59397,502,19,Celcom,LTE,89239,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-98236,3.09997,101.62102,502,16,Digi,LTE,98236,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-16469,3.09148,101.61023,502,1,U Mobile,GSM,16469,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-68067,3.12551,101.57708,502,16,Digi,UMTS,68067,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-46976,3.09817,101.63026,502,12,Maxis,UMTS,46976,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-88477,3.11874,101.59563,502,1,U Mobile,LTE,88477,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-11917,3.08861,101.59679,502,1,U Mobile,GSM,11917,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-57362,3.10827,101.61917,502,19,Celcom,UMTS,57362,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-69383,3.12684,101.602,502,12,Maxis,LTE,69383,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-97958,3.04782,101.62245,502,16,Digi,GSM,97958,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-49809,3.0869,101.65947,502,16,Digi,UMTS,49809,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-44387,3.11187,101.61242,502,12,Maxis,LTE,44387,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-29216,3.12426,101.59881,502,12,Maxis,GSM,29216,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-89767,3.10406,101.62363,502,12,Maxis,LTE,89767,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-52078,3.10099,101.6045,502,16,Digi,LTE,52078,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-22219,3.13221,101.62048,502,12,Maxis,GSM,22219,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-77444,3.12548,101.62631,502,1,U Mobile,LTE,77444,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-80792,3.08263,101.6193,502,1,U Mobile,LTE,80792,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-83698,3.10233,101.62113,502,16,Digi,UMTS,83698,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-15415,3.1072,101.62384,502,19,Celcom,LTE,15415,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-15951,3.13437,101.65194,502,1,U Mobile,UMTS,15951,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-51832,3.11732,101.61494,502,12,Maxis,LTE,51832,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-98861,3.09793,101.62255,502,12,Maxis,UMTS,98861,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-25524,3.1044,101.63734,502,19,Celcom,GSM,25524,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-33930,3.06232,101.62942,502,12,Maxis,LTE,33930,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-30611,3.11937,101.61284,502,16,Digi,LTE,30611,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-92985,3.11291,101.63804,502,12,Maxis,GSM,92985,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-53303,3.12424,101.60258,502,12,Maxis,LTE,53303,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-83340,3.09712,101.61547,502,1,U Mobile,LTE,83340,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-97062,3.10256,101.60458,502,16,Digi,LTE,97062,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-29096,3.09037,101.63152,502,19,Celcom,LTE,29096,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-20395,3.03184,101.5849,502,19,Celcom,LTE,20395,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-37696,3.0258,101.5739,502,16,Digi,GSM,37696,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-56163,3.03879,101.55822,502,19,Celcom,LTE,56163,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-62853,3.05082,101.59221,502,12,Maxis,LTE,62853,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-31566,3.05363,101.55748,502,16,Digi,UMTS,31566,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-30806,3.02704,101.57597,502,12,Maxis,LTE,30806,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-51949,3.02199,101.5734,502,12,Maxis,GSM,51949,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-34442,3.03853,101.58965,502,19,Celcom,LTE,34442,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-12079,3.06374,101.60347,502,1,U Mobile,LTE,12079,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-37952,3.06636,101.59807,502,16,Digi,GSM,37952,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-82847,3.07559,101.59009,502,12,Maxis,GSM,82847,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-28449,3.04952,101.57055,502,1,U Mobile,LTE,28449,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-58302,3.06242,101.57725,502,12,Maxis,LTE,58302,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-16645,3.06515,101.57506,502,16,Digi,LTE,16645,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-36737,3.04255,101.57295,502,1,U Mobile,LTE,36737,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-75155,3.05582,101.57396,502,16,Digi,LTE,75155,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-22342,3.05988,101.57356,502,12,Maxis,GSM,22342,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-88623,3.03636,101.5729,502,19,Celcom,LTE,88623,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-85629,3.07463,101.59428,502,16,Digi,LTE,85629,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-91974,3.04942,101.56418,502,16,Digi,UMTS,91974,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-95382,3.05131,101.56906,502,1,U Mobile,LTE,95382,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-86534,3.03579,101.55625,502,12,Maxis,LTE,86534,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-73230,3.03831,101.60123,502,19,Celcom,LTE,73230,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-95230,3.01705,101.56805,502,12,Maxis,LTE,95230,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-49986,3.05083,101.58991,502,12,Maxis,LTE,49986,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-89111,3.08759,101.58713,502,12,Maxis,UMTS,89111,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-44911,3.03472,101.59978,502,16,Digi,LTE,44911,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-22175,3.09464,101.57685,502,1,U Mobile,LTE,22175,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
